instrument,instrument_name
SH512570,易方达中证全指证券公司ETF
SH512580,广发中证环保ETF
SH512600,嘉实中证主要消费ETF
SH512620,天弘中证农业主题ETF
SH512630,广发中证卫星产业ETF
SH512640,嘉实中证金融地产ETF
SH512650,添富中证长三角ETF
SH512660,国泰中证军工ETF
SH512670,鹏华中证国防ETF
SH512680,广发中证军工ETF
SH512690,鹏华中证酒ETF
SH512700,南方中证银行ETF
SH512710,富国中证军工龙头ETF
SH512720,国泰中证计算机主题ETF
SH512730,鹏华中证银行ETF
SH512750,嘉实中证锐联基本面50ETF
SH512760,国泰CES芯片ETF
SH512770,华夏战略新兴成指ETF
SH512800,华宝中证银行ETF
SH512810,华宝中证军工ETF
SH512820,汇添富中证银行ETF
SH512870,南华中证杭州湾区ETF
SH512880,国泰中证全指证券公司ETF
SH512890,华泰柏瑞中证红利低波动ETF
SH512900,南方中证全指证券公司ETF
SH512910,广发中证A100ETF
SH512930,平安人工智能ETF
SH512940,华安中证有色金属矿业主题ETF
SH512950,华夏中证央企ETF
SH512960,博时央企结构调整ETF
SH512970,平安粤港澳大湾区发展主题ETF
SH512980,广发中证传媒ETF
SH512990,华夏MSCI中国A股国际通ETF
SH513000,易方达奥明日经225ETF(QDII)
SH513010,易方达恒生科技ETF(QDII)
SH513020,国泰中证港股通科技ETF
SH513030,华安德国(DAX)ETF(QDII)
SH513040,易方达中证港股通互联网ETF
SH513050,易方达中证海外中国互联网50(QDII-ETF)
SH513060,博时恒生医疗保健(QDII-ETF)
SH513070,易方达中证港股通消费主题ETF
SH513080,华安法国CAC40ETF(QDII)
SH513090,易方达中证香港证券投资主题ETF
SH513100,国泰纳斯达克100(QDII-ETF)
SH513110,华泰柏瑞纳斯达克100ETF(QDII)
SH513120,广发中证香港创新药(QDII-ETF)
SH513130,华泰柏瑞南方东英恒生科技指数ETF(QDII)
SH513140,华泰柏瑞中证港股通金融服务ETF(QDII)
SH513150,华泰柏瑞中证港股通科技ETF
SH513160,银华恒生港股通中国科技ETF
SH513170,鹏华恒生中国央企(QDII)
SH513180,华夏恒生科技ETF(QDII)
SH513190,华夏中证港股通内地金融ETF
SH513200,易方达中证港股通医药卫生综合ETF
SH513210,易方达恒生ETF(QDII)
SH513220,招商中证全球中国互联网ETF(QDII)
SH513230,华夏中证港股通消费主题ETF
SH513240,华安中证港股通信息技术综合ETF
SH513260,汇添富恒生科技ETF(QDII)
SH513280,汇添富恒生生物科技ETF(QDII)
SH513290,汇添富纳斯达克生物科技ETF
SH513300,华夏纳斯达克100ETF(QDII)
SH513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII)
SH513320,易方达恒生港股通新经济ETF
SH513330,华夏恒生互联网科技业ETF(QDII)
SH513350,富国标普石油天然气勘探及生产精选行业ETF(QDII)
SH513360,博时全球中国教育(QDII-ETF)
SH513380,广发恒生科技(QDII-ETF)
SH513390,博时纳斯达克100ETF
SH513400,鹏华道琼斯工业平均ETF(QDII)
SH513500,博时标普500ETF(QDII)
SH513520,华夏野村日经225ETF(QDII)
SH513530,华泰柏瑞中证港股通高股息投资ETF(QDII)
SH513550,华泰柏瑞中证港股通50ETF
SH513560,兴银中证港股通科技ETF
SH513580,华安恒生科技(QDII-ETF)
SH513590,鹏华中证港股通消费主题ETF
SH513600,南方恒指ETF
SH513630,摩根标普港股通低波红利ETF
SH513650,南方标普500ETF(QDII)
SH513660,华夏沪港通恒生ETF
SH513690,博时恒生高股息ETF
SH513700,鹏华中证港股通医药卫生综合交易ETF
SH513720,国泰中证港股通互联网ETF
SH513730,华泰柏瑞南方东英新交所泛东南亚科技ETF(QDII)
SH513750,广发中证港股通非银ETF
SH513770,华宝中证港股通互联网ETF
SH513780,景顺长城中证港股通创新药ETF
SH513800,南方顶峰TOPIX(ETF-QDII)
SH513810,华夏中证香港内地国有企业ETF(QDII)
SH513820,汇添富中证港股通高股息投资ETF
SH513830,嘉实中证港股通高股息投资ETF
SH513850,易方达MSCI美国50ETF(QDII)
SH513860,海富通中证港股通科技ETF
SH513870,富国纳斯达克100ETF(QDII)
SH513880,华安日经225ETF(QDII)
SH513890,摩根恒生科技ETF(QDII)
SH513900,华安CES港股通精选100ETF
SH513910,华夏中证港股通央企红利ETF
SH513920,华安恒生港股通中国央企红利ETF
SH513930,华泰柏瑞恒生生物科技ETF
SH513950,富国恒生港股通高股息低波动ETF(QDII)
SH513970,景顺长城恒生消费ETF(QDII)
SH513980,景顺长城中证港股通科技ETF
SH513990,招商上证港股通ETF
SH515000,华宝中证科技龙头ETF
SH515010,华夏中证全指证券公司ETF
SH515020,华夏中证银行ETF
SH515030,华夏中证新能源汽车ETF
SH515050,华夏中证5G通信主题ETF
SH515060,华夏中证全指房地产ETF
SH515070,华夏中证人工智能主题ETF
SH515080,招商中证红利ETF
SH515090,博时可持续发展100ETF
SH515100,景顺长城中证红利低波动100ETF
SH515110,易方达中证国企一带一路ETF
